60.4,61.75,50.0,50.0,51.03,62.34,63.25,62.08,62.27
64.91,67.09,51.21,53.04,53.91,62.98,65.53,66.43,66.58
59.02,60.96,49.65,50.83,50.86,62.2,63.26,64.29,64.68
63.04,65.72,52.15,52.55,53.8,61.61,60.77,61.42,62.79
59.88,60.21,50.08,51.51,52.52,61.23,61.0,63.5,64.55
61.85,65.0,55.08,55.6,54.87,64.53,65.85,63.97,63.01
59.06,59.5,52.78,56.09,55.5,59.2,61.05,60.79,62.51
61.21,64.47,53.77,54.87,56.54,60.64,63.67,63.95,64.6
58.9,59.53,54.78,54.06,57.85,58.72,60.7,61.03,61.9
60.45,63.41,56.03,55.98,55.98,58.36,61.17,62.47,64.32
64.29,64.3,50.0,50.0,50.0,63.98,62.85,64.02,63.21
67.65,68.05,49.55,49.32,51.59,52.32,53.21,58.03,58.04
64.51,64.84,50.0,50.0,49.77,56.78,57.34,58.95,61.46
66.2,67.67,49.55,52.59,51.46,58.33,56.71,57.51,57.79
63.68,64.01,48.86,50.0,51.09,58.75,60.92,62.28,63.78
66.66,67.26,49.43,52.36,50.67,52.9,55.79,57.64,59.07
64.68,63.42,53.05,54.36,53.27,60.19,61.7,64.3,65.01
66.44,66.75,50.32,49.5,50.88,55.3,57.69,59.64,60.26
64.57,64.1,57.26,57.08,55.39,66.63,65.5,67.99,68.31
67.01,66.06,50.84,51.21,51.77,61.89,61.46,62.33,60.6
63.49,68.56,51.25,50.64,50.02,56.47,57.49,60.04,60.89
64.94,66.31,52.5,51.58,50.96,51.49,50.55,55.56,54.62
63.78,67.19,51.25,53.18,50.37,56.58,60.93,63.6,64.2
65.45,64.99,50.62,53.47,51.93,53.37,57.1,57.84,55.66
65.17,67.04,53.9,53.22,53.51,61.2,62.17,63.4,62.86
65.93,67.0,52.92,51.31,50.11,62.09,60.62,59.05,60.28
64.4,66.69,52.98,55.75,58.86,50.99,52.89,58.72,60.49
65.8,65.81,51.82,47.41,45.57,57.2,58.65,59.59,60.99
62.84,66.23,56.1,56.14,57.37,51.38,56.97,60.79,57.2
65.96,65.81,50.35,46.51,45.28,61.5,60.6,60.33,60.44
72.63,73.68,50.0,50.0,48.75,66.67,66.16,65.65,64.71
67.12,65.38,49.17,53.81,52.98,55.39,60.08,61.01,61.07
74.5,75.95,50.0,52.92,52.53,65.36,66.92,67.36,67.14
64.62,62.67,47.12,48.01,52.98,58.38,60.09,62.82,64.23
74.46,75.44,53.37,52.98,56.31,61.8,64.04,64.02,64.58
62.67,62.97,52.98,51.76,53.81,51.57,60.47,63.49,64.25
73.38,73.98,53.4,55.1,58.43,63.18,64.08,68.9,68.6
64.36,63.32,53.43,50.96,55.48,56.79,60.25,62.22,60.51
74.86,75.37,56.76,58.43,60.1,67.55,61.27,66.19,64.4
63.33,65.24,56.38,51.38,55.06,64.51,66.54,66.54,66.7
64.48,66.15,57.5,61.94,67.78,55.94,53.09,54.2,53.09
65.03,66.15,57.5,61.39,67.22,60.38,58.92,60.31,60.87
61.49,60.66,55.28,67.15,67.99,61.15,53.37,52.53,54.2
62.05,62.88,54.17,64.1,64.93,60.31,52.81,52.26,53.92
55.1,56.84,55.49,65.49,67.99,53.92,52.67,55.03,50.73
53.99,54.62,52.43,64.93,67.43,55.03,55.17,59.76,54.9
53.16,52.95,60.49,63.82,66.88,50.66,51.42,51.15,49.48
50.94,51.84,54.65,61.6,62.71,55.94,52.81,51.98,51.42
52.33,55.73,59.38,63.82,65.76,55.1,51.15,50.87,46.98
50.66,55.73,53.54,61.6,61.6,59.55,55.31,54.48,50.31
64.74,66.85,50.21,51.99,52.58,56.16,57.16,60.01,59.53
