2,76.37,57.01,66.49,46.18
3,80.5,55.8,72.27,49.6
4,78.26,51.7,75.89,48.73
5,89.94,59.48,79.02,44.73
2,74.48,55.98,65.12,48.01
3,80.25,59.13,75.53,57.61
4,81.39,61.53,81.57,60.01
5,86.21,60.45,88.12,57.05
2,79.82,62.24,76.46,60.79
3,87.18,67.08,80.02,60.7
4,89.67,64.21,84.11,57.63
5,92.25,70.02,92.58,64.27
