90,50.0,50.0
90,62.62,61.52
180,71.83,71.99
180,50.0,50.0
365,67.75,66.0
365,68.25,65.81
90,50.0,50.0
90,62.62,61.52
180,71.83,71.99
180,50.0,50.0
365,67.75,66.0
365,68.25,65.81
90,50.0,50.0
90,62.62,61.52
180,71.83,71.99
180,50.0,50.0
365,67.75,66.0
365,68.25,65.81
90,50.0,50.0
90,62.62,61.52
180,71.83,71.99
180,50.0,50.0
365,67.75,66.0
365,68.25,65.81
90,50.0,50.0
90,62.62,61.52
90,54.91,53.42
90,50.0,50.0
180,71.83,71.99
180,50.0,50.0
180,83.95,81.37
180,56.91,56.91
365,67.75,66.0
365,68.25,65.81
365,83.29,75.53
365,50.0,50.0
90,50.0,50.0
90,62.62,61.52
90,54.91,53.42
90,50.0,50.0
180,71.83,71.99
180,50.0,50.0
180,83.95,81.37
180,56.91,56.91
365,67.75,66.0
365,68.25,65.81
365,83.29,75.53
365,50.0,50.0
90,61.54,65.86
90,69.0,76.84
90,67.56,69.64
90,57.58,52.12
180,70.39,68.97
180,60.95,71.96
180,71.32,76.96
180,64.36,69.82
365,72.5,76.06
365,79.67,74.44
365,76.24,68.94
365,69.17,71.25
