58.38,58.34,50.6,51.04,52.01,59.25,59.91,59.15,59.8
63.42,61.91,52.47,52.96,54.37,58.92,57.73,58.78,60.36
59.16,55.64,50.6,52.33,51.85,58.96,59.48,59.2,60.08
61.61,61.31,53.05,52.66,53.95,60.73,60.73,59.67,60.08
59.45,55.6,52.7,54.37,53.52,58.36,60.95,61.74,61.0
60.65,60.02,53.82,54.82,55.2,59.1,55.23,56.59,56.84
58.23,55.79,54.26,54.25,53.82,52.81,53.72,55.07,55.55
60.0,59.99,54.6,54.84,55.59,56.62,56.67,56.77,55.95
57.83,56.64,52.66,52.24,53.0,56.22,53.49,54.52,55.01
58.99,58.75,53.63,54.95,55.84,58.73,56.78,57.76,59.09
68.28,69.25,50.0,49.75,49.75,54.91,57.05,56.09,56.93
66.69,67.41,50.75,50.5,50.0,55.04,58.22,58.09,58.98
68.16,66.78,50.0,49.75,49.75,51.24,58.9,58.99,59.33
65.82,64.7,50.5,49.75,50.75,53.6,59.04,58.88,60.22
67.85,67.16,51.0,50.75,51.8,58.93,58.27,56.4,57.28
64.2,64.8,49.75,50.75,50.0,60.04,62.33,61.25,60.9
67.68,66.24,53.55,50.76,52.55,59.09,60.3,61.15,59.59
64.4,64.26,53.55,50.01,53.06,57.59,57.85,59.39,59.72
67.11,66.36,57.83,57.46,60.12,55.35,54.72,54.24,55.62
63.76,63.38,55.35,56.19,56.3,59.53,57.91,59.95,60.3
69.43,70.07,50.0,50.0,50.0,67.74,70.81,72.87,74.76
67.62,70.32,50.0,49.92,50.5,65.78,75.42,77.02,76.93
68.69,69.83,50.0,50.94,50.88,64.22,70.83,72.58,73.58
65.19,69.78,49.92,53.33,52.29,71.01,73.65,72.58,72.99
68.25,70.38,50.54,54.46,57.94,62.68,69.7,69.16,71.66
65.38,70.11,51.75,50.02,50.54,66.74,72.69,74.62,73.06
70.93,71.5,56.33,63.62,66.71,67.75,73.89,74.01,74.44
67.04,70.86,57.81,57.4,60.48,67.14,70.77,71.15,71.49
67.93,71.53,64.88,67.62,66.29,64.62,64.13,69.99,71.92
65.67,70.94,56.81,57.23,61.08,66.2,66.24,69.0,69.28
76.59,78.52,50.0,50.0,50.0,58.54,67.45,67.86,68.62
70.15,70.1,50.0,47.77,46.33,61.52,63.69,65.97,64.94
76.59,78.78,48.75,49.92,49.05,66.99,75.08,74.19,74.0
67.1,66.68,49.17,49.96,47.42,62.75,68.4,66.63,66.09
77.31,79.8,51.52,59.77,62.65,63.09,65.59,66.52,65.69
66.82,67.69,51.48,48.14,48.6,59.61,64.18,65.99,66.41
77.45,80.1,64.32,65.53,62.99,66.7,71.05,71.41,72.4
65.77,66.84,60.57,53.86,53.07,57.4,61.82,64.22,62.87
78.14,78.64,66.74,67.5,63.3,63.72,68.46,69.69,72.91
65.63,69.1,62.42,56.33,52.2,60.57,63.09,66.79,68.92
78.99,70.28,53.26,50.49,57.71,62.22,61.81,63.68,60.52
74.1,78.19,53.26,51.39,54.03,73.02,67.08,68.44,65.03
76.81,79.17,51.11,49.31,56.88,66.53,67.08,67.78,65.42
75.52,75.69,53.47,55.21,55.97,69.27,69.9,69.62,72.71
78.06,73.54,49.93,55.76,60.9,59.27,62.43,60.07,58.96
76.32,75.07,51.11,52.99,56.94,50.66,60.31,61.94,60.28
76.63,73.54,47.15,59.65,61.04,68.19,67.26,65.94,63.96
74.58,75.07,50.0,54.86,61.94,56.88,68.26,67.47,69.13
79.41,74.03,55.28,61.6,61.04,65.49,63.3,62.5,60.45
