k,DS,NB,SVM_2,RF_20
90,Ori,45.2,50.08,56.45
90,FS,38.89,14.72,12.71
90,MVI,44.2,50.08,51.18
90,Dummy,43.25,53.22,50.68
180,Ori,54.84,60.68,54.57
180,FS,55.1,26.87,52.13
180,MVI,56.41,60.74,53.55
180,Dummy,54.46,60.13,52.49
365,Ori,65.21,66.03,69.47
365,FS,67.87,68.4,64.4
365,MVI,63.1,66.43,72.56
365,Dummy,64.88,66.15,69.92

