k,DS,NB,SVM_2,RF_20
90,Slow,49.8,51.1,48.49
90,Neutral,60.23,52.07,58.41
90,Fast,53.5,50.88,51.9
k,DS,NB,SVM_2,RF_20
180,Slow,65.01,57.84,62.99
180,Neutral,64.12,59.7,61.97
180,Fast,62.49,58.64,58.7
k,DS,NB,SVM_2,RF_20
365,Slow,63.86,53.97,58.53
365,Neutral,70.0,57.12,67.63
365,Fast,73.41,56.99,70.63
