k,DS,NB,SVM_2,RF_20
90,Ori,49.73,15.05,22.03
90,FS,19.17,8.76,8.38
90,MVI,45.5,15.05,28.2
90,Dummy,53.56,14.17,18.94
180,Ori,60.65,31.68,42.11
180,FS,42.52,11.62,27.94
180,MVI,57.27,33.16,50.75
180,Dummy,61.84,32.69,43.9
365,Ori,66.17,61.13,48.61
365,FS,45.89,37.66,47.31
365,MVI,67.17,59.97,44.14
365,Dummy,66.05,59.24,47.71

