365,#2,NB_1to2,NB_K_1to2,NB_0to2,NB_K_0to2,SVM_1_1to2,SVM_2_1to2,SVM_3_1to2,SVM_1_0to2,SVM_2_0to2,SVM_3_0to2,RF_5_1to2,RF_10_1to2,RF_15_1to2,RF_20_1to2,RF_5_0to2,RF_10_0to2,RF_15_0to2,RF_20_0to2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,2,73.55,74.68,73.13,73.92,66.42,68.23,71.1,65.52,68.91,69.9,73.15,74.99,77.23,77.42,73.17,75.71,77.17,76.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,#3,NB_2to3,NB_K_2to3,NB_1to3,NB_K_1to3,NB_0to3,NB_K_0to3,SVM_1_2to3,SVM_2_2to3,SVM_3_2to3,SVM_1_1to3,SVM_2_1to3,SVM_3_1to3,SVM_1_0to3,SVM_2_0to3,SVM_3_0to3,RF_5_2to3,RF_10_2to3,RF_15_2to3,RF_20_2to3,RF_5_1to3,RF_10_1to3,RF_15_1to3,RF_20_1to3,RF_5_0to3,RF_10_0to3,RF_15_0to3,RF_20_0to3,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,3,78.08,79.05,77.56,78.63,77.39,78.49,68.76,67.98,69.08,69.44,68.61,70.34,69.67,68.82,70.76,71.14,70.11,71.37,72.54,72,72.02,73.6,74.03,72.29,72.65,74.35,74.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,#4,NB_3to4,NB_K_3to4,NB_2to4,NB_K_2to4,NB_1to4,NB_K_1to4,NB_0to4,NB_K_0to4,SVM_1_3to4,SVM_2_3to4,SVM_3_3to4,SVM_1_2to4,SVM_2_2to4,SVM_3_2to4,SVM_1_1to4,SVM_2_1to4,SVM_3_1to4,SVM_1_0to4,SVM_2_0to4,SVM_3_0to4,RF_5_3to4,RF_10_3to4,RF_15_3to4,RF_20_3to4,RF_5_2to4,RF_10_2to4,RF_15_2to4,RF_20_2to4,RF_5_1to4,RF_10_1to4,RF_15_1to4,RF_20_1to4,RF_5_0to4,RF_10_0to4,RF_15_0to4,RF_20_0to4,,,,,,,,,,,,,,,,,,
365,4,78.27,77.55,77.27,77.55,76.94,77.27,76.57,76.91,67.45,69.73,69.68,68.86,71.34,69.7,68.65,70.98,69.24,68.43,70.7,68.93,72.5,72.77,73.64,73.73,69.34,71.93,72.93,73.27,69.35,71.32,72.32,73.03,69.51,71.18,72.15,73,,,,,,,,,,,,,,,,,,
365,#5,NB_4to5,NB_K_4to5,NB_3to5,NB_K_3to5,NB_2to5,NB_K_2to5,NB_1to5,NB_K_1to5,NB_0to5,NB_K_0to5,SVM_1_4to5,SVM_2_4to5,SVM_3_4to5,SVM_1_3to5,SVM_2_3to5,SVM_3_3to5,SVM_1_2to5,SVM_2_2to5,SVM_3_2to5,SVM_1_1to5,SVM_2_1to5,SVM_3_1to5,SVM_1_0to5,SVM_2_0to5,SVM_3_0to5,RF_5_4to5,RF_10_4to5,RF_15_4to5,RF_20_4to5,RF_5_3to5,RF_10_3to5,RF_15_3to5,RF_20_3to5,RF_5_2to5,RF_10_2to5,RF_15_2to5,RF_20_2to5,RF_5_1to5,RF_10_1to5,RF_15_1to5,RF_20_1to5,RF_5_0to5,RF_10_0to5,RF_15_0to5,RF_20_0to5,,,,,,,,,
365,5,81.56,81.09,81.48,80.55,80.52,79.64,79.92,79.18,79.62,78.84,73.12,70.62,70,72.5,70,68.44,72.29,70.21,68.33,71.88,70.62,68.59,71.62,71,68.62,73.44,72.73,74.92,76.8,74.73,74.57,75.59,76.72,74.9,74.69,75.21,76.04,74.67,74.79,74.8,75.57,74.55,74.86,74.64,75.09,,,,,,,,,
365,#6,NB_5to6,NB_K_5to6,NB_4to6,NB_K_4to6,NB_3to6,NB_K_3to6,NB_2to6,NB_K_2to6,NB_1to6,NB_K_1to6,NB_0to6,NB_K_0to6,SVM_1_5to6,SVM_2_5to6,SVM_3_5to6,SVM_1_4to6,SVM_2_4to6,SVM_3_4to6,SVM_1_3to6,SVM_2_3to6,SVM_3_3to6,SVM_1_2to6,SVM_2_2to6,SVM_3_2to6,SVM_1_1to6,SVM_2_1to6,SVM_3_1to6,SVM_1_0to6,SVM_2_0to6,SVM_3_0to6,RF_5_5to6,RF_10_5to6,RF_15_5to6,RF_20_5to6,RF_5_4to6,RF_10_4to6,RF_15_4to6,RF_20_4to6,RF_5_3to6,RF_10_3to6,RF_15_3to6,RF_20_3to6,RF_5_2to6,RF_10_2to6,RF_15_2to6,RF_20_2to6,RF_5_1to6,RF_10_1to6,RF_15_1to6,RF_20_1to6,RF_5_0to6,RF_10_0to6,RF_15_0to6,RF_20_0to6
365,6,72.17,70.5,73.38,72.58,74.32,72.7,73.38,71.49,72.87,71.05,72.59,70.69,57.67,59.5,55.5,59.67,59.42,56.58,58.83,57.5,55.5,58.83,56.5,54.75,58.63,56.43,54.63,58.67,56.56,54.42,48.43,51.1,49.93,54.47,54.72,58.15,54.57,56.53,55.41,58.49,56.7,57.69,55.77,58.3,56.72,57.4,56.28,58.69,57.87,58.13,56.46,58.5,58.11,58.29
