k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,200,32.68%,28.83%,38.24%,35.87%,34.17%,5.39%,4.01%,3.54%,3.58%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,25.11%,20.68%,43.12%,38.87%,34.77%,5.11%,3.23%,3.28%,3.19%
180,4,50,24.52%,20.65%,37.53%,33.6%,30.96%,5.3%,3.62%,3.22%,2.8%
180,4,100,24.39%,20.43%,33.82%,31.46%,29.79%,5.48%,3.86%,2.68%,2.38%
180,4,150,24.38%,20.54%,32.05%,31.14%,29.19%,4.32%,3.25%,2.54%,2.5%
180,4,200,24.41%,20.35%,32.38%,30.34%,28.47%,4.17%,3.36%,2.63%,2.47%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,81.9%,84.11%,52.3%,47.19%,57.55%,89.02%,91.9%,94.46%,94.62%
180,5,50,82.21%,84.79%,56.24%,57.04%,63.01%,92.87%,94.59%,95.26%,95.78%
180,5,100,82.46%,85.21%,66.26%,66.95%,68.42%,91.08%,96.09%,96.67%,96.93%
180,5,150,82.55%,85.56%,69.0%,68.65%,69.74%,95.0%,96.37%,96.99%,97.3%
180,5,200,82.52%,85.98%,73.29%,70.52%,72.59%,92.97%,95.48%,96.54%,97.01%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,68.21%,78.53%,51.76%,55.29%,60.19%,94.24%,95.83%,95.61%,95.8%
180,6,50,68.55%,78.53%,57.55%,64.15%,69.29%,95.16%,96.88%,96.49%,96.91%
180,6,100,69.86%,80.19%,64.06%,69.72%,74.77%,95.43%,95.78%,95.85%,96.31%
180,6,150,70.0%,80.07%,69.29%,73.96%,75.37%,96.31%,97.14%,97.41%,97.59%
180,6,200,70.58%,80.42%,72.25%,73.29%,76.43%,96.04%,96.95%,97.12%,97.24%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,77.93%,78.65%,69.78%,69.44%,69.68%,89.4%,94.11%,95.36%,96.1%
365,1,50,77.79%,79.45%,69.04%,68.72%,70.01%,93.05%,94.89%,95.85%,96.36%
365,1,100,77.86%,79.49%,67.16%,67.74%,68.56%,91.73%,93.31%,94.81%,95.29%
365,1,150,77.78%,79.44%,63.97%,65.9%,68.37%,92.19%,94.31%,95.28%,95.8%
365,1,200,77.77%,79.34%,62.36%,64.13%,67.7%,91.66%,94.37%,95.12%,95.58%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,25.76%,23.09%,32.59%,31.59%,28.84%,5.15%,2.4%,1.91%,1.58%
365,2,50,25.69%,22.03%,33.44%,31.99%,28.47%,3.77%,3.07%,2.4%,2.12%
365,2,100,25.73%,21.25%,38.19%,35.28%,32.14%,4.95%,2.86%,2.25%,1.95%
365,2,150,25.65%,21.01%,41.28%,37.61%,34.93%,5.01%,2.77%,2.26%,1.92%
365,2,200,25.7%,21.0%,42.82%,39.59%,36.87%,4.51%,2.73%,2.32%,2.08%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,77.27%,79.2%,69.16%,70.57%,67.94%,88.91%,91.94%,92.52%,93.16%
365,3,50,76.74%,80.02%,67.61%,68.45%,68.41%,84.07%,88.1%,89.11%,89.21%
365,3,100,76.24%,80.02%,66.65%,67.55%,66.57%,84.41%,85.52%,85.67%,86.45%
365,3,150,76.25%,80.27%,65.23%,65.83%,66.01%,80.46%,82.56%,84.0%,84.45%
365,3,200,76.08%,80.3%,61.88%,64.75%,65.73%,79.74%,80.92%,82.44%,83.25%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,79.32%,80.47%,63.1%,62.91%,62.64%,89.55%,89.93%,89.86%,90.47%
365,4,50,78.68%,79.99%,60.24%,59.8%,60.76%,81.04%,83.11%,85.48%,86.08%
365,4,100,78.14%,79.59%,56.2%,58.92%,59.59%,81.51%,83.8%,84.73%,83.73%
365,4,150,77.84%,79.45%,54.08%,57.08%,58.47%,80.45%,81.15%,81.2%,83.24%
365,4,200,77.76%,79.22%,51.7%,54.61%,56.06%,76.74%,77.61%,78.84%,79.76%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,84.35%,85.22%,75.04%,75.87%,75.67%,93.61%,94.06%,93.94%,94.04%
365,5,50,84.1%,85.52%,75.91%,77.05%,76.03%,94.23%,95.07%,95.29%,95.25%
365,5,100,84.2%,85.68%,75.16%,75.62%,76.6%,94.4%,95.58%,96.02%,95.67%
365,5,150,84.17%,85.74%,73.92%,74.86%,74.48%,94.12%,95.37%,95.51%,95.76%
365,5,200,84.25%,85.72%,72.36%,74.74%,74.88%,92.67%,93.78%,94.4%,95.07%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,6,0,70.58%,73.53%,61.59%,62.73%,65.45%,86.99%,88.44%,89.45%,91.0%
365,6,50,70.35%,74.26%,58.18%,58.18%,62.95%,88.66%,90.77%,90.93%,91.3%
365,6,100,69.36%,74.5%,53.64%,56.59%,61.59%,89.52%,90.13%,90.52%,91.03%
365,6,150,69.28%,74.9%,50.91%,54.09%,58.18%,84.5%,88.3%,88.71%,89.14%
365,6,200,69.24%,74.83%,49.77%,53.18%,56.36%,86.06%,88.21%,89.77%,90.45%
