k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,200,75.11%,77.05%,62.05%,65.15%,66.2%,94.85%,95.75%,95.78%,95.96%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,85.0%,85.87%,62.14%,67.01%,66.29%,94.89%,96.92%,97.19%,97.39%
180,4,50,84.06%,86.32%,74.67%,71.99%,72.3%,94.62%,96.47%,97.53%,98.02%
180,4,100,84.37%,86.52%,70.94%,72.52%,70.22%,93.17%,96.09%,97.19%,97.81%
180,4,150,83.77%,86.14%,68.88%,72.68%,71.92%,94.62%,96.25%,96.63%,96.94%
180,4,200,83.59%,86.29%,69.82%,72.95%,71.88%,94.22%,95.76%,97.21%,97.65%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,17.21%,19.97%,35.24%,42.58%,39.46%,13.46%,11.92%,10.71%,9.95%
180,5,50,17.15%,20.42%,37.26%,44.23%,36.88%,11.15%,7.56%,7.84%,7.55%
180,5,100,17.66%,20.13%,31.23%,39.37%,35.08%,14.95%,11.04%,10.3%,9.28%
180,5,150,17.56%,20.06%,31.01%,40.24%,36.81%,12.2%,12.56%,11.15%,10.35%
180,5,200,17.47%,19.78%,27.04%,37.52%,37.36%,16.36%,12.87%,10.16%,9.74%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,19.93%,19.38%,48.72%,48.12%,48.58%,8.85%,6.15%,5.97%,5.83%
180,6,50,19.44%,18.96%,41.74%,38.37%,30.97%,10.38%,6.56%,5.83%,5.21%
180,6,100,19.79%,18.61%,31.7%,25.1%,28.3%,7.99%,6.6%,6.49%,5.59%
180,6,150,20.0%,18.19%,25.56%,26.77%,29.62%,8.26%,5.97%,5.31%,5.42%
180,6,200,20.35%,17.85%,25.03%,27.71%,29.37%,6.94%,7.12%,6.32%,5.9%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,76.74%,80.46%,66.08%,67.78%,69.55%,91.5%,95.95%,96.51%,97.15%
365,1,50,76.52%,81.47%,64.84%,64.97%,67.98%,93.14%,94.71%,95.45%,96.04%
365,1,100,75.43%,81.92%,62.91%,64.03%,66.36%,91.53%,93.22%,94.47%,94.7%
365,1,150,75.35%,82.04%,59.51%,61.08%,65.62%,90.99%,92.52%,93.52%,94.1%
365,1,200,74.77%,82.11%,56.6%,59.48%,64.67%,89.15%,91.85%,92.79%,93.34%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,74.39%,77.6%,65.52%,66.51%,66.48%,93.78%,96.66%,97.97%,98.28%
365,2,50,74.37%,78.27%,64.75%,67.81%,70.15%,95.82%,97.75%,98.27%,98.42%
365,2,100,74.1%,78.06%,65.18%,68.27%,70.19%,95.86%,97.45%,98.0%,98.2%
365,2,150,73.62%,78.17%,60.44%,66.32%,68.66%,95.71%,97.46%,97.99%,97.98%
365,2,200,73.56%,77.59%,57.03%,62.49%,66.89%,96.13%,97.76%,97.79%,98.07%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,3,0,85.46%,86.22%,70.51%,71.91%,73.94%,90.76%,91.88%,92.58%,92.98%
365,3,50,84.79%,85.93%,72.3%,74.64%,75.85%,86.67%,90.73%,91.05%,91.55%
365,3,100,84.8%,86.01%,69.97%,72.94%,74.07%,88.26%,90.74%,90.33%,90.95%
365,3,150,84.18%,85.62%,68.26%,71.42%,72.48%,86.56%,89.3%,89.55%,89.49%
365,3,200,83.74%,85.45%,66.55%,69.97%,72.05%,83.66%,86.3%,87.68%,88.3%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,4,0,70.3%,78.31%,71.67%,72.29%,73.33%,93.21%,96.08%,96.72%,97.22%
365,4,50,71.27%,78.5%,71.25%,72.78%,75.83%,93.19%,94.73%,95.81%,96.47%
365,4,100,71.88%,78.56%,70.14%,72.99%,75.0%,92.34%,94.94%,95.74%,96.35%
365,4,150,72.13%,78.38%,69.24%,71.04%,73.12%,94.91%,95.86%,96.16%,96.67%
365,4,200,71.99%,78.01%,69.03%,72.71%,72.92%,92.87%,94.78%,95.71%,96.5%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,5,0,17.92%,18.65%,25.69%,22.53%,22.29%,13.94%,11.44%,10.07%,9.74%
365,5,50,17.99%,17.78%,23.02%,21.49%,23.37%,10.66%,9.77%,9.84%,9.18%
365,5,100,17.81%,18.09%,25.0%,23.09%,22.47%,11.6%,10.73%,10.26%,9.86%
365,5,150,17.81%,17.53%,28.75%,25.94%,24.65%,13.0%,10.02%,9.51%,9.77%
365,5,200,17.74%,17.88%,30.31%,26.88%,25.9%,8.68%,8.39%,8.47%,8.0%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,6,0,68.21%,71.2%,59.7%,59.1%,63.76%,86.03%,86.97%,89.06%,89.44%
365,6,50,67.65%,70.77%,53.76%,58.68%,61.54%,86.07%,86.88%,87.74%,88.25%
365,6,100,67.22%,70.77%,48.89%,51.03%,57.95%,87.31%,89.02%,90.38%,89.15%
365,6,150,66.67%,70.51%,42.52%,49.62%,54.44%,79.87%,78.46%,83.25%,83.72%
365,6,200,66.88%,70.17%,40.98%,47.31%,54.79%,79.19%,79.06%,82.14%,83.25%
