k,#TP,NB,SVM,RF
90,1,76.04%,63.53%,75.43%
90,2,68.39%,60.45%,70.77%
90,3,59.97%,53.17%,64.24%
90,4,64.22%,60.05%,69.41%
90,5,62.33%,56.48%,67.52%
90,6,50.15%,54.73%,65.61%
180,1,73.39%,63.43%,71.16%
180,2,71.88%,59.27%,68.51%
180,3,69.89%,59.97%,65.09%
180,4,66.02%,59.27%,66.64%
180,5,65.17%,57.65%,73.55%
180,6,53.5%,52.57%,66.7%
365,1,73.89%,65.55%,76.67%
365,2,72.66%,63.41%,76.37%
365,3,72.05%,66.23%,76.5%
365,4,70.0%,62.95%,74.05%
365,5,61.33%,61.25%,68.67%
365,6,64.47%,61.0%,56.4%
k,#TP,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
90,1,74.12%,76.04%,70.63%,63.53%,63.65%,69.76%,73.34%,74.65%,75.43%
90,2,68.92%,68.39%,57.35%,60.45%,56.1%,70.84%,71.75%,71.48%,70.77%
90,3,64.79%,59.97%,59.09%,53.17%,50.46%,58.12%,62.46%,63.02%,64.24%
90,4,61.25%,64.22%,60.12%,60.05%,58.82%,57.45%,64.16%,67.81%,69.41%
90,5,54.15%,62.33%,52.98%,56.48%,58.44%,67.77%,70.79%,65.81%,67.52%
90,6,51.21%,50.15%,54.7%,54.73%,50.95%,60.38%,63.14%,64.62%,65.61%
180,1,73.33%,73.39%,67.76%,63.43%,62.92%,66.82%,68.71%,70.52%,71.16%
180,2,68.59%,71.88%,62.25%,59.27%,58.51%,65.08%,66.19%,66.86%,68.51%
180,3,67.97%,69.89%,60.36%,59.97%,59.91%,59.36%,61.45%,63.18%,65.09%
180,4,60.34%,66.02%,64.04%,59.27%,59.32%,63.18%,65.36%,67.26%,66.64%
180,5,61.74%,65.17%,60.64%,57.65%,59.07%,66.64%,73.23%,73.03%,73.55%
180,6,51.09%,53.5%,51.81%,52.57%,54.93%,57.38%,58.66%,60.07%,66.7%
365,1,73.31%,73.89%,66.75%,65.55%,64.93%,69.36%,74.42%,75.78%,76.67%
365,2,71.88%,72.66%,63.04%,63.41%,64.17%,71.08%,73.0%,75.27%,76.37%
365,3,70.42%,72.05%,68.37%,66.23%,65.65%,67.62%,71.57%,74.69%,76.5%
365,4,67.77%,70.0%,67.09%,62.95%,64.41%,68.91%,70.95%,73.64%,74.05%
365,5,61.88%,61.33%,70.62%,61.25%,63.75%,70.39%,73.52%,70.23%,68.67%
365,6,64.97%,64.47%,68.33%,61.0%,60.17%,55.5%,54.53%,57.3%,56.4%
