k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,3,200,21.9%,22.59%,37.4%,33.77%,31.99%,6.27%,3.77%,3.67%,3.05%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,4,0,15.68%,14.18%,38.12%,30.73%,26.88%,4.01%,2.43%,2.41%,2.26%
180,4,50,17.45%,13.66%,34.79%,27.92%,27.19%,3.42%,2.46%,2.2%,1.97%
180,4,100,17.15%,13.49%,33.54%,28.44%,27.6%,3.56%,1.99%,1.68%,1.62%
180,4,150,17.43%,13.33%,35.94%,30.1%,30.0%,5.08%,3.79%,2.98%,2.48%
180,4,200,18.06%,13.18%,36.56%,31.77%,31.15%,5.83%,3.05%,2.86%,2.42%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,5,0,38.16%,35.53%,48.46%,50.38%,42.52%,21.01%,16.98%,16.39%,15.56%
180,5,50,38.1%,35.43%,51.39%,47.01%,38.25%,17.68%,13.59%,12.51%,11.57%
180,5,100,37.22%,35.24%,44.68%,47.42%,37.91%,18.89%,16.16%,14.43%,14.37%
180,5,150,37.37%,34.77%,44.59%,47.56%,40.02%,17.93%,15.58%,14.17%,14.24%
180,5,200,37.12%,34.53%,44.92%,50.17%,38.74%,19.49%,14.39%,13.35%,12.73%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
180,6,0,31.85%,30.65%,48.65%,45.96%,46.15%,11.82%,9.82%,10.62%,10.1%
180,6,50,31.75%,30.33%,42.12%,43.08%,40.96%,11.58%,9.41%,9.59%,8.65%
180,6,100,31.92%,30.21%,43.65%,41.54%,36.15%,11.3%,8.15%,7.07%,7.6%
180,6,150,31.57%,29.73%,41.35%,35.77%,34.62%,10.01%,8.09%,7.71%,6.58%
180,6,200,32.04%,30.09%,38.27%,36.15%,35.77%,10.72%,9.08%,8.65%,8.17%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,1,0,71.92%,78.6%,65.44%,67.68%,71.96%,90.34%,95.24%,95.89%,96.38%
365,1,50,71.9%,78.68%,64.98%,65.25%,70.3%,90.65%,92.19%,92.88%,93.48%
365,1,100,71.34%,78.54%,61.98%,63.8%,68.38%,88.95%,90.42%,91.42%,91.78%
365,1,150,71.17%,77.94%,59.48%,61.71%,66.64%,88.05%,90.25%,91.45%,91.46%
365,1,200,71.15%,77.76%,58.2%,59.97%,65.51%,87.98%,90.8%,91.84%,92.18%
k,#TP,%SMOTE,NB,NB_K,SVM_1,SVM_2,SVM_3,RF_5,RF_10,RF_15,RF_20
365,2,0,31.39%,25.76%,36.58%,34.07%,31.81%,4.23%,2.06%,1.63%,1.42%
